"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSMUSG00000063297",6101.29347628198,-0.164506105259087,0.0416106586027136,-3.95346074258864,7.70289068959291e-05,0.0889403759589077,"Luzp2"
"ENSMUSG00000002475",2542.73806155412,-0.214184599530953,0.0543314416497794,-3.94218509627608,8.07426247624389e-05,0.0889403759589077,"Abhd3"
"ENSMUSG00000032667",3420.54674116056,-0.166827560282154,0.0427001750787073,-3.90695260557241,9.34674780882313e-05,0.09723733303779,"Pon2"
"ENSMUSG00000008090",915.947260614382,-0.276737434013582,0.071264775969912,-3.88322884969737,0.000103078468199448,0.0992426973577672,"Fgfrl1"
"ENSMUSG00000073565",1221.13237470367,0.360703587373348,0.0933384049779259,3.86447130158966,0.000111330077835724,0.0992426973577672,"Prr16"
"ENSMUSG00000039286",1332.54627638774,-0.241545350649044,0.0626109376137032,-3.85787787014675,0.00011437577078988,0.0992426973577672,"Fndc3b"
"ENSMUSG00000062960",1315.81758791112,-0.339827792409597,0.088194131920188,-3.85317917429163,0.00011659400522647,0.0992426973577672,"Kdr"
"ENSMUSG00000062078",18214.8888152523,-0.126463936589332,0.0331634844178619,-3.81334889289313,0.000137096360513934,0.111620280303649,"Qk"
"ENSMUSG00000047104",11.278664751417,-1.76550133890804,0.464797914159617,-3.79842784385162,0.000145616807319916,0.113539787899529,"Pbp2"
"ENSMUSG00000078234",964.763025899141,-0.294759443397181,0.077944928651598,-3.78163722125798,0.000155800301186449,0.113539787899529,"Klhdc7a"
"ENSMUSG00000036902",5712.9957826506,-0.178633079977074,0.047273576297167,-3.77870882571199,0.000157643623058195,0.113539787899529,"Neto2"
"ENSMUSG00000052229",3156.23630608025,-0.272517075468856,0.072316667750403,-3.76838540748909,0.000164306882192178,0.113955950960397,"Gpr17"
"ENSMUSG00000031925",739.138732129867,-0.243184231195771,0.0653368767721448,-3.72200575249181,0.000197646519177114,0.132183168503951,"Maml2"
"ENSMUSG00000089901",7.25313639083966,2.32075246280738,0.628645093744742,3.69167354664778,0.000222783301969531,0.133789254848223,"Gm8113"
"ENSMUSG00000037712",5402.17447976708,-0.138344075517718,0.0375457920274305,-3.68467591299301,0.000228993825910197,0.133789254848223,"Fermt2"
"ENSMUSG00000057329",1955.18384863239,-0.199320210421154,0.0541863153708047,-3.67842340002595,0.000234680149356378,0.133789254848223,"Bcl2"
"ENSMUSG00000022075",9017.0864713734,-0.166824508221138,0.0453652871053712,-3.6773603533832,0.00023566001400023,0.133789254848223,"Rhobtb2"
"ENSMUSG00000007617",16030.6472799677,-0.292533581430751,0.0795524780006645,-3.67724034225945,0.000235770875253196,0.133789254848223,"Homer1"
"ENSMUSG00000041220",4431.28377256091,-0.221156407528112,0.0611593090461214,-3.61607106060229,0.00029910829864045,0.164738294127678,"Elovl6"
"ENSMUSG00000005089",249225.622102205,-0.17368063867193,0.0482597873970827,-3.59886870704342,0.000319604483793192,0.170997530386038,"Slc1a2"
"ENSMUSG00000048486",2005.63406548948,-0.168833635023597,0.0472209899350504,-3.57539380804632,0.000349701101294415,0.181902856189978,"Fitm2"
