"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSMUSG00000053593",7.75669239007556,-1.91455756094046,0.653825685368098,-2.92823852562871,0.00340888419610725,0.999972122235056,"Fate1"
"ENSMUSG00000026255",1693.82318287541,0.460292923577816,0.157716039140177,2.91849152494065,0.00351729436325928,0.999972122235056,"Efhd1"
"ENSMUSG00000025867",76720.8401311236,-0.186465810293762,0.0641369644524921,-2.90730644777992,0.00364555868960723,0.999972122235056,"Cplx2"
"ENSMUSG00000071234",6261.90547932699,-0.372186774130485,0.128040774038739,-2.90678322530195,0.0036516615687669,0.999972122235056,"Syndig1l"
"ENSMUSG00000090369",8.86459643889545,1.85118892268117,0.638354383899352,2.89993923339774,0.00373235009485394,0.999972122235056,"4933411K16Rik"
"ENSMUSG00000037847",262.532026900879,0.386582037583521,0.134447642244666,2.87533519464791,0.00403598781467194,0.999972122235056,"Nmrk1"
"ENSMUSG00000005667",459.128735147957,0.254715234701782,0.0891525064339826,2.85707317595606,0.00427567253368542,0.999972122235056,"Mthfd2"
"ENSMUSG00000085416",13.3531565609666,-1.87337517599457,0.657169619116323,-2.85067221840481,0.00436269175544918,0.999972122235056,"1700019G24Rik"
"ENSMUSG00000099759",73.8151696898779,-0.758491416610603,0.266477951670047,-2.84635712582243,0.0044222568837529,0.999972122235056,"1700030C10Rik"
"ENSMUSG00000031506",225.637673675246,-0.544048054170565,0.191518268429124,-2.84071101223383,0.00450130824513011,0.999972122235056,"Ptpn7"
"ENSMUSG00000022129",34.4792889433361,-1.52631135375691,0.537628569907017,-2.83896994912471,0.00452594190388189,0.999972122235056,"Dct"
"ENSMUSG00000079845",27.0356941975207,3.19290225678,1.12469689346423,2.83890021865838,0.00452693103317213,0.999972122235056,"Xlr4a"
"ENSMUSG00000066724",41.2005643167562,-0.98193658176019,0.346202616973875,-2.83630606360867,0.00456386866880033,0.999972122235056,"Gm10175"
"ENSMUSG00000027674",9935.92146522701,0.316401952955347,0.111874730942416,2.82818068289437,0.00468133767991216,0.999972122235056,"Pex5l"
"ENSMUSG00000034532",737.366948318799,-0.251484799583549,0.0891892883555601,-2.81967492083786,0.00480723223078959,0.999972122235056,"Fbxo16"
"ENSMUSG00000089941",98.5050053294301,0.720132396127776,0.255820218079069,2.8149940670647,0.00487781344050453,0.999972122235056,"Gm16168"
"ENSMUSG00000037868",217.517863858656,-0.558121893996671,0.199484881754241,-2.79781549904247,0.0051449492364008,0.999972122235056,"Egr2"
"ENSMUSG00000033948",2632.85207884682,-0.227008899033195,0.0813147377324852,-2.79173130681457,0.00524268711761527,0.999972122235056,"Zswim5"
"ENSMUSG00000067144",4.69020138560547,2.78875696789742,0.999573539878044,2.78994676893675,0.00527167080156445,0.999972122235056,"Slc22a7"
"ENSMUSG00000086158",506.809071609735,-0.296161412589458,0.106154771974363,-2.78990201835658,0.00527239947762739,0.999972122235056,"Ccpg1os"
"ENSMUSG00000031635",10.0728886585072,-1.94443885968766,0.697501819967223,-2.78771868979357,0.0053080614261662,0.999972122235056,"Anxa10"
"ENSMUSG00000028139",190.762587132694,-0.439682691220202,0.158039408879865,-2.78210792065434,0.00540070777470345,0.999972122235056,"Riiad1"
"ENSMUSG00000019768",287.354444688051,0.602050338071059,0.216610798484337,2.77941054778298,0.00544576499737001,0.999972122235056,"Esr1"
"ENSMUSG00000089737",28.789325093347,0.994757912014771,0.358208170686,2.77703858655631,0.00548566661093319,0.999972122235056,"Gm15688"
"ENSMUSG00000037005",2.28427951575277,-3.51065541683329,1.26802468682184,-2.76860178931718,0.00562973968481349,0.999972122235056,"Xpnpep2"
"ENSMUSG00000102798",13.7358358013466,1.21715184382451,0.440351028843429,2.76404905200592,0.00570889565119657,0.999972122235056,"ENSMUSG00000102798"
"ENSMUSG00000098703",6.86435758387852,-1.95261068432771,0.706463652443363,-2.76392235831871,0.00571111268997978,0.999972122235056,"ENSMUSG00000098703"
"ENSMUSG00000097796",252.840814522348,0.463106429481517,0.167677414053803,2.76188914347712,0.00574679871588699,0.999972122235056,"ENSMUSG00000097796"
"ENSMUSG00000021322",10.2824652442161,-1.84196921747126,0.668826349422265,-2.75403207284276,0.0058865999147527,0.999972122235056,"Aoah"
"ENSMUSG00000041445",264.157925174153,-0.350608264065704,0.127402306531683,-2.75197736689731,0.00592366147554715,0.999972122235056,"Mmrn2"
"ENSMUSG00000086495",16.063548574177,1.41021992537706,0.514556158492597,2.74065308927277,0.00613172097637698,0.999972122235056,"Gm13778"
"ENSMUSG00000025789",1697.01042151243,-0.321258133810358,0.117363023989418,-2.73730279682743,0.00619452470973691,0.999972122235056,"St8sia2"
"ENSMUSG00000028028",299.959288659043,0.355720480661306,0.130568753164362,2.72439210791513,0.00644199745027623,0.999972122235056,"Alpk1"
"ENSMUSG00000039830",1517.12518096804,0.284417754801203,0.104515229409949,2.72130441091609,0.00650248518771911,0.999972122235056,"Olig2"
"ENSMUSG00000032925",87.4325981280082,1.10705296685437,0.407582024244731,2.71614767335677,0.00660464511353278,0.999972122235056,"Itgbl1"
"ENSMUSG00000085562",121.788341950621,0.82753181069213,0.306121291306806,2.70328080467538,0.00686587158487198,0.999972122235056,"2610028E06Rik"
"ENSMUSG00000075273",935.687210688182,-0.203477465050396,0.0753856316984947,-2.6991544736828,0.00695159008378089,0.999972122235056,"Ttc30b"
"ENSMUSG00000084968",82.9571172465175,0.521011823451759,0.193301691336518,2.69532987450551,0.00703189764266532,0.999972122235056,"Gm12743"
"ENSMUSG00000037922",159.208938138252,-0.450807341901399,0.167297889895252,-2.69463854077094,0.00704650260727789,0.999972122235056,"Bank1"
"ENSMUSG00000034472",17416.3492771839,-0.361432422680926,0.134841525454521,-2.68042371563669,0.00735290215983127,0.999972122235056,"Rasd2"
"ENSMUSG00000092274",5155.1033353675,0.323123418162682,0.120650883035406,2.67816869660091,0.00740259245122876,0.999972122235056,"Neat1"
"ENSMUSG00000027555",41.9818396260955,0.882477672658544,0.329965750974244,2.67445233347089,0.00748514161358187,0.999972122235056,"Car13"
